Number,Filename,Output,Formula,# variables,variables,prefix,prefix_length,path
12,I.12.5,F,q2*Ef,2,"['q2', 'Ef']","['mul', 's_1', 's_2']",3,./Feynman_with_units/I.12.5
13,I.12.11,F,q*(Ef+B*v*sin(theta)),5,"['q', 'Ef', 'B', 'v', 'theta']","['mul', 's_1', 'add', 's_2', 'mul', 's_3', 'mul', 's_4', 'sin', 's_5']",10,./Feynman_with_units/I.12.11
9,I.13.4,K,1/2*m*(v**2+u**2+w**2),4,"['m', 'v', 'u', 'w']","['mul', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'mul', 's_1', 'add', 'pow', 's_2', 's+', '2', 'add', 'pow', 's_3', 's+', '2', 'pow', 's_4', 's+', '2']",25,./Feynman_with_units/I.13.4
14,I.13.12,U,G*m1*m2*(1/r2-1/r1),5,"['m1', 'm2', 'r1', 'r2', 'G']","['mul', 's_1', 'mul', 's_2', 'mul', 's_5', 'add', 'pow', 's_4', 's-', '1', 'mul', 's-', '1', 'pow', 's_3', 's-', '1']",18,./Feynman_with_units/I.13.12
15,I.14.3,U,m*g*z,3,"['m', 'g', 'z']","['mul', 's_1', 'mul', 's_2', 's_3']",5,./Feynman_with_units/I.14.3
16,I.14.4,U,1/2*k_spring*x**2,2,"['k_spring', 'x']","['mul', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'mul', 's_1', 'pow', 's_2', 's+', '2']",15,./Feynman_with_units/I.14.4
17,I.15.3x,x1,(x-u*t)/sqrt(1-u**2/c**2),4,"['x', 'u', 'c', 't']","['mul', 'pow', 'add', 's+', '1', 'mul', 's-', '1', 'mul', 'pow', 's_2', 's+', '2', 'pow', 's_3', 's-', '2', 'mul', 's-', '1', 'pow', 's+', '2', 's-', '1', 'add', 's_1', 'mul', 's-', '1', 'mul', 's_2', 's_4']",33,./Feynman_with_units/I.15.3x
18,I.15.3t,t1,(t-u*x/c**2)/sqrt(1-u**2/c**2),4,"['x', 'c', 'u', 't']","['mul', 'pow', 'add', 's+', '1', 'mul', 's-', '1', 'mul', 'pow', 's_2', 's-', '2', 'pow', 's_3', 's+', '2', 'mul', 's-', '1', 'pow', 's+', '2', 's-', '1', 'add', 's_4', 'mul', 's-', '1', 'mul', 's_1', 'mul', 's_3', 'pow', 's_2', 's-', '2']",38,./Feynman_with_units/I.15.3t
19,I.15.10,p,m_0*v/sqrt(1-v**2/c**2),3,"['m_0', 'v', 'c']","['mul', 's_1', 'mul', 's_2', 'pow', 'add', 's+', '1', 'mul', 's-', '1', 'mul', 'pow', 's_2', 's+', '2', 'pow', 's_3', 's-', '2', 'mul', 's-', '1', 'pow', 's+', '2', 's-', '1']",28,./Feynman_with_units/I.15.10
20,I.16.6,v1,(u+v)/(1+u*v/c**2),3,"['c', 'v', 'u']","['mul', 'pow', 'add', 's+', '1', 'mul', 's_2', 'mul', 's_3', 'pow', 's_1', 's-', '2', 's-', '1', 'add', 's_2', 's_3']",18,./Feynman_with_units/I.16.6
21,I.18.4,r,(m1*r1+m2*r2)/(m1+m2),4,"['m1', 'm2', 'r1', 'r2']","['mul', 'pow', 'add', 's_1', 's_2', 's-', '1', 'add', 'mul', 's_1', 's_3', 'mul', 's_2', 's_4']",14,./Feynman_with_units/I.18.4
22,I.18.12,tau,r*F*sin(theta),3,"['r', 'F', 'theta']","['mul', 's_1', 'mul', 's_2', 'sin', 's_3']",6,./Feynman_with_units/I.18.12
23,I.18.14,L,m*r*v*sin(theta),4,"['m', 'r', 'v', 'theta']","['mul', 's_1', 'mul', 's_2', 'mul', 's_3', 'sin', 's_4']",8,./Feynman_with_units/I.18.14
24,I.24.6,E_n,1/2*m*(omega**2+omega_0**2)*1/2*x**2,4,"['m', 'omega', 'omega_0', 'x']","['mul', 'mul', 's+', '1', 'pow', 's+', '4', 's-', '1', 'mul', 's_1', 'mul', 'pow', 's_4', 's+', '2', 'add', 'pow', 's_2', 's+', '2', 'pow', 's_3', 's+', '2']",25,./Feynman_with_units/I.24.6
25,I.25.13,Volt,q/C,2,"['q', 'C']","['mul', 's_1', 'pow', 's_2', 's-', '1']",6,./Feynman_with_units/I.25.13
26,I.26.2,theta1,asin(n*sin(theta2)),2,"['n', 'theta2']","['asin', 'mul', 's_1', 'sin', 's_2']",5,./Feynman_with_units/I.26.2
27,I.27.6,foc,1/(1/d1+n/d2),3,"['d1', 'd2', 'n']","['pow', 'add', 'pow', 's_1', 's-', '1', 'mul', 's_3', 'pow', 's_2', 's-', '1', 's-', '1']",14,./Feynman_with_units/I.27.6
28,I.29.4,k,omega/c,2,"['omega', 'c']","['mul', 's_1', 'pow', 's_2', 's-', '1']",6,./Feynman_with_units/I.29.4
29,I.29.16,x,sqrt(x1**2+x2**2-2*x1*x2*cos(theta1-theta2)),4,"['x1', 'x2', 'theta1', 'theta2']","['pow', 'add', 'pow', 's_1', 's+', '2', 'add', 'pow', 's_2', 's+', '2', 'mul', 's-', '2', 'mul', 's_1', 'mul', 's_2', 'cos', 'add', 's_3', 'mul', 's-', '1', 's_4', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",33,./Feynman_with_units/I.29.16
30,I.30.3,Int,Int_0*sin(n*theta/2)**2/sin(theta/2)**2,3,"['Int_0', 'theta', 'n']","['mul', 's_1', 'mul', 'pow', 'sin', 'mul', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 's_2', 's-', '2', 'pow', 'sin', 'mul', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'mul', 's_2', 's_3', 's+', '2']",33,./Feynman_with_units/I.30.3
31,I.30.5,theta,asin(lambd/(n*d)),3,"['lambd', 'd', 'n']","['asin', 'mul', 's_1', 'mul', 'pow', 's_2', 's-', '1', 'pow', 's_3', 's-', '1']",12,./Feynman_with_units/I.30.5
32,I.32.5,Pwr,q**2*a**2/(6*pi*epsilon*c**3),4,"['q', 'a', 'epsilon', 'c']","['mul', 'mul', 's+', '1', 'pow', 's+', '6', 's-', '1', 'mul', 'pow', 'pi', 's-', '1', 'mul', 'pow', 's_1', 's+', '2', 'mul', 'pow', 's_2', 's+', '2', 'mul', 'pow', 's_3', 's-', '1', 'pow', 's_4', 's-', '3']",33,./Feynman_with_units/I.32.5
33,I.32.17,Pwr,(1/2*epsilon*c*Ef**2)*(8*pi*r**2/3)*(omega**4/(omega**2-omega_0**2)**2),6,"['epsilon', 'c', 'Ef', 'r', 'omega', 'omega_0']","['mul', 'mul', 's+', '4', 'pow', 's+', '3', 's-', '1', 'mul', 'pi', 'mul', 's_1', 'mul', 's_2', 'mul', 'pow', 's_3', 's+', '2', 'mul', 'pow', 's_4', 's+', '2', 'mul', 'pow', 's_5', 's+', '4', 'pow', 'add', 'pow', 's_5', 's+', '2', 'mul', 's-', '1', 'pow', 's_6', 's+', '2', 's-', '2']",45,./Feynman_with_units/I.32.17
34,I.34.8,omega,q*v*B/p,4,"['q', 'v', 'B', 'p']","['mul', 's_1', 'mul', 's_2', 'mul', 's_3', 'pow', 's_4', 's-', '1']",10,./Feynman_with_units/I.34.8
35,I.34.1,omega,omega_0/(1-v/c),3,"['c', 'v', 'omega_0']","['mul', 's_3', 'pow', 'add', 's+', '1', 'mul', 's-', '1', 'mul', 's_2', 'pow', 's_1', 's-', '1', 's-', '1']",17,./Feynman_with_units/I.34.1
36,I.34.14,omega,(1+v/c)/sqrt(1-v**2/c**2)*omega_0,3,"['c', 'v', 'omega_0']","['mul', 's_3', 'mul', 'pow', 'add', 's+', '1', 'mul', 's-', '1', 'mul', 'pow', 's_1', 's-', '2', 'pow', 's_2', 's+', '2', 'mul', 's-', '1', 'pow', 's+', '2', 's-', '1', 'add', 's+', '1', 'mul', 's_2', 'pow', 's_1', 's-', '1']",36,./Feynman_with_units/I.34.14
37,I.34.27,E_n,(h/(2*pi))*omega,2,"['omega', 'h']","['mul', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'mul', 's_1', 'mul', 's_2', 'pow', 'pi', 's-', '1']",17,./Feynman_with_units/I.34.27
38,I.37.4,Int,I1+I2+2*sqrt(I1*I2)*cos(delta),3,"['I1', 'I2', 'delta']","['add', 's_1', 'add', 's_2', 'mul', 's+', '2', 'mul', 'pow', 'mul', 's_1', 's_2', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'cos', 's_3']",22,./Feynman_with_units/I.37.4
39,I.38.12,r,4*pi*epsilon*(h/(2*pi))**2/(m*q**2),4,"['m', 'q', 'h', 'epsilon']","['mul', 's_4', 'mul', 'pow', 'pi', 's-', '1', 'mul', 'pow', 's_1', 's-', '1', 'mul', 'pow', 's_2', 's-', '2', 'pow', 's_3', 's+', '2']",21,./Feynman_with_units/I.38.12
40,I.39.1,E_n,3/2*pr*V,2,"['pr', 'V']","['mul', 'mul', 's+', '3', 'pow', 's+', '2', 's-', '1', 'mul', 's_1', 's_2']",12,./Feynman_with_units/I.39.1
41,I.39.11,E_n,1/(Gamma-1)*pr*V,3,"['Gamma', 'pr', 'V']","['mul', 's_2', 'mul', 's_3', 'pow', 'add', 's-', '1', 's_1', 's-', '1']",11,./Feynman_with_units/I.39.11
42,I.39.22,pr,n*kb*T/V,4,"['n', 'T', 'V', 'kb']","['mul', 's_1', 'mul', 's_2', 'mul', 's_4', 'pow', 's_3', 's-', '1']",10,./Feynman_with_units/I.39.22
43,I.40.1,n,n_0*exp(-m*g*x/(kb*T)),6,"['n_0', 'm', 'x', 'T', 'g', 'kb']","['mul', 's_1', 'exp', 'mul', 's-', '1', 'mul', 's_2', 'mul', 's_3', 'mul', 's_5', 'mul', 'pow', 's_4', 's-', '1', 'pow', 's_6', 's-', '1']",21,./Feynman_with_units/I.40.1
44,I.41.16,L_rad,h/(2*pi)*omega**3/(pi**2*c**2*(exp((h/(2*pi))*omega/(kb*T))-1)),5,"['omega', 'T', 'h', 'kb', 'c']","['mul', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'mul', 's_3', 'mul', 'pow', 'pi', 's-', '3', 'mul', 'pow', 's_1', 's+', '3', 'mul', 'pow', 's_5', 's-', '2', 'pow', 'add', 's-', '1', 'exp', 'mul', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'mul', 's_1', 'mul', 's_3', 'mul', 'pow', 'pi', 's-', '1', 'mul', 'pow', 's_2', 's-', '1', 'pow', 's_4', 's-', '1', 's-', '1']",60,./Feynman_with_units/I.41.16
45,I.43.16,v,mu_drift*q*Volt/d,4,"['mu_drift', 'q', 'Volt', 'd']","['mul', 's_1', 'mul', 's_2', 'mul', 's_3', 'pow', 's_4', 's-', '1']",10,./Feynman_with_units/I.43.16
46,I.43.31,D,mob*kb*T,3,"['mob', 'T', 'kb']","['mul', 's_1', 'mul', 's_2', 's_3']",5,./Feynman_with_units/I.43.31
47,I.43.43,kappa,1/(Gamma-1)*kb*v/A,4,"['Gamma', 'kb', 'A', 'v']","['mul', 's_2', 'mul', 's_4', 'mul', 'pow', 's_3', 's-', '1', 'pow', 'add', 's-', '1', 's_1', 's-', '1']",16,./Feynman_with_units/I.43.43
48,I.44.4,E_n,n*kb*T*ln(V2/V1),5,"['n', 'kb', 'T', 'V1', 'V2']","['mul', 's_1', 'mul', 's_2', 'mul', 's_3', 'ln', 'mul', 's_5', 'pow', 's_4', 's-', '1']",13,./Feynman_with_units/I.44.4
49,I.47.23,c,sqrt(Gamma*pr/rho),3,"['Gamma', 'pr', 'rho']","['pow', 'mul', 's_1', 'mul', 's_2', 'pow', 's_3', 's-', '1', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",17,./Feynman_with_units/I.47.23
50,I.48.20,E_n,m*c**2/sqrt(1-v**2/c**2),3,"['m', 'v', 'c']","['mul', 's_1', 'mul', 'pow', 's_3', 's+', '2', 'pow', 'add', 's+', '1', 'mul', 's-', '1', 'mul', 'pow', 's_2', 's+', '2', 'pow', 's_3', 's-', '2', 'mul', 's-', '1', 'pow', 's+', '2', 's-', '1']",31,./Feynman_with_units/I.48.20
51,I.50.26,x,x1*(cos(omega*t)+alpha*cos(omega*t)**2),4,"['x1', 'omega', 't', 'alpha']","['mul', 's_1', 'add', 'mul', 's_4', 'pow', 'cos', 'mul', 's_2', 's_3', 's+', '2', 'cos', 'mul', 's_2', 's_3']",16,./Feynman_with_units/I.50.26
52,II.2.42,Pwr,kappa*(T2-T1)*A/d,5,"['kappa', 'T1', 'T2', 'A', 'd']","['mul', 's_1', 'mul', 's_4', 'mul', 'pow', 's_5', 's-', '1', 'add', 's_3', 'mul', 's-', '1', 's_2']",15,./Feynman_with_units/II.2.42
53,II.3.24,flux,Pwr/(4*pi*r**2),2,"['Pwr', 'r']","['mul', 'mul', 's+', '1', 'pow', 's+', '4', 's-', '1', 'mul', 's_1', 'mul', 'pow', 'pi', 's-', '1', 'pow', 's_2', 's-', '2']",20,./Feynman_with_units/II.3.24
54,II.4.23,Volt,q/(4*pi*epsilon*r),3,"['q', 'epsilon', 'r']","['mul', 'mul', 's+', '1', 'pow', 's+', '4', 's-', '1', 'mul', 's_1', 'mul', 'pow', 'pi', 's-', '1', 'mul', 'pow', 's_2', 's-', '1', 'pow', 's_3', 's-', '1']",25,./Feynman_with_units/II.4.23
55,II.6.11,Volt,1/(4*pi*epsilon)*p_d*cos(theta)/r**2,4,"['epsilon', 'p_d', 'theta', 'r']","['mul', 'mul', 's+', '1', 'pow', 's+', '4', 's-', '1', 'mul', 's_2', 'mul', 'pow', 'pi', 's-', '1', 'mul', 'pow', 's_1', 's-', '1', 'mul', 'pow', 's_4', 's-', '2', 'cos', 's_3']",28,./Feynman_with_units/II.6.11
56,II.6.15a,Ef,p_d/(4*pi*epsilon)*3*z/r**5*sqrt(x**2+y**2),6,"['epsilon', 'p_d', 'r', 'x', 'y', 'z']","['mul', 'mul', 's+', '3', 'pow', 's+', '4', 's-', '1', 'mul', 's_2', 'mul', 's_6', 'mul', 'pow', 'pi', 's-', '1', 'mul', 'pow', 's_1', 's-', '1', 'mul', 'pow', 's_3', 's-', '5', 'pow', 'add', 'pow', 's_4', 's+', '2', 'pow', 's_5', 's+', '2', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",46,./Feynman_with_units/II.6.15a
57,II.6.15b,Ef,p_d/(4*pi*epsilon)*3*cos(theta)*sin(theta)/r**3,4,"['epsilon', 'p_d', 'theta', 'r']","['mul', 'mul', 's+', '3', 'pow', 's+', '4', 's-', '1', 'mul', 's_2', 'mul', 'pow', 'pi', 's-', '1', 'mul', 'pow', 's_1', 's-', '1', 'mul', 'pow', 's_4', 's-', '3', 'mul', 'cos', 's_3', 'sin', 's_3']",31,./Feynman_with_units/II.6.15b
58,II.8.7,E_n,3/5*q**2/(4*pi*epsilon*d),3,"['q', 'epsilon', 'd']","['mul', 'mul', 's+', '3', 'pow', 's+', '2', '0', 's-', '1', 'mul', 'pow', 'pi', 's-', '1', 'mul', 'pow', 's_1', 's+', '2', 'mul', 'pow', 's_2', 's-', '1', 'pow', 's_3', 's-', '1']",29,./Feynman_with_units/II.8.7
59,II.8.31,E_den,epsilon*Ef**2/2,2,"['epsilon', 'Ef']","['mul', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'mul', 's_1', 'pow', 's_2', 's+', '2']",15,./Feynman_with_units/II.8.31
60,II.10.9,Ef,sigma_den/epsilon*1/(1+chi),3,"['sigma_den', 'epsilon', 'chi']","['mul', 's_1', 'mul', 'pow', 's_2', 's-', '1', 'pow', 'add', 's+', '1', 's_3', 's-', '1']",14,./Feynman_with_units/II.10.9
61,II.11.3,x,q*Ef/(m*(omega_0**2-omega**2)),5,"['q', 'Ef', 'm', 'omega_0', 'omega']","['mul', 's_1', 'mul', 's_2', 'mul', 'pow', 's_3', 's-', '1', 'pow', 'add', 'pow', 's_4', 's+', '2', 'mul', 's-', '1', 'pow', 's_5', 's+', '2', 's-', '1']",24,./Feynman_with_units/II.11.3
62,II.11.7,n,n_0*(1+p_d*Ef*cos(theta)/(kb*T)),6,"['n_0', 'kb', 'T', 'theta', 'p_d', 'Ef']","['mul', 's_1', 'add', 's+', '1', 'mul', 's_5', 'mul', 's_6', 'mul', 'pow', 's_2', 's-', '1', 'mul', 'pow', 's_3', 's-', '1', 'cos', 's_4']",21,./Feynman_with_units/II.11.7
63,II.11.20,Pol,n_rho*p_d**2*Ef/(3*kb*T),5,"['n_rho', 'p_d', 'Ef', 'kb', 'T']","['mul', 'mul', 's+', '1', 'pow', 's+', '3', 's-', '1', 'mul', 's_1', 'mul', 's_3', 'mul', 'pow', 's_2', 's+', '2', 'mul', 'pow', 's_4', 's-', '1', 'pow', 's_5', 's-', '1']",27,./Feynman_with_units/II.11.20
64,II.11.27,Pol,n*alpha/(1-(n*alpha/3))*epsilon*Ef,4,"['n', 'alpha', 'epsilon', 'Ef']","['mul', 's_1', 'mul', 's_2', 'mul', 's_3', 'mul', 's_4', 'pow', 'add', 's+', '1', 'mul', 'mul', 's-', '1', 'pow', 's+', '3', 's-', '1', 'mul', 's_1', 's_2', 's-', '1']",26,./Feynman_with_units/II.11.27
65,II.11.28,theta,1+n*alpha/(1-(n*alpha/3)),2,"['n', 'alpha']","['add', 's+', '1', 'mul', 's_1', 'mul', 's_2', 'pow', 'add', 's+', '1', 'mul', 'mul', 's-', '1', 'pow', 's+', '3', 's-', '1', 'mul', 's_1', 's_2', 's-', '1']",25,./Feynman_with_units/II.11.28
66,II.13.17,B,1/(4*pi*epsilon*c**2)*2*I/r,4,"['epsilon', 'c', 'I', 'r']","['mul', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'mul', 's_3', 'mul', 'pow', 'pi', 's-', '1', 'mul', 'pow', 's_1', 's-', '1', 'mul', 'pow', 's_2', 's-', '2', 'pow', 's_4', 's-', '1']",30,./Feynman_with_units/II.13.17
67,II.13.23,rho_c,rho_c_0/sqrt(1-v**2/c**2),3,"['rho_c_0', 'v', 'c']","['mul', 's_1', 'pow', 'add', 's+', '1', 'mul', 's-', '1', 'mul', 'pow', 's_2', 's+', '2', 'pow', 's_3', 's-', '2', 'mul', 's-', '1', 'pow', 's+', '2', 's-', '1']",26,./Feynman_with_units/II.13.23
68,II.13.34,j,rho_c_0*v/sqrt(1-v**2/c**2),3,"['rho_c_0', 'v', 'c']","['mul', 's_1', 'mul', 's_2', 'pow', 'add', 's+', '1', 'mul', 's-', '1', 'mul', 'pow', 's_2', 's+', '2', 'pow', 's_3', 's-', '2', 'mul', 's-', '1', 'pow', 's+', '2', 's-', '1']",28,./Feynman_with_units/II.13.34
69,II.15.4,E_n,-mom*B*cos(theta),3,"['mom', 'B', 'theta']","['mul', 's-', '1', 'mul', 's_1', 'mul', 's_2', 'cos', 's_3']",9,./Feynman_with_units/II.15.4
70,II.15.5,E_n,-p_d*Ef*cos(theta),3,"['p_d', 'Ef', 'theta']","['mul', 's-', '1', 'mul', 's_1', 'mul', 's_2', 'cos', 's_3']",9,./Feynman_with_units/II.15.5
71,II.21.32,Volt,q/(4*pi*epsilon*r*(1-v/c)),5,"['q', 'epsilon', 'r', 'v', 'c']","['mul', 'mul', 's+', '1', 'pow', 's+', '4', 's-', '1', 'mul', 's_1', 'mul', 'pow', 'pi', 's-', '1', 'mul', 'pow', 's_2', 's-', '1', 'mul', 'pow', 's_3', 's-', '1', 'pow', 'add', 's+', '1', 'mul', 's-', '1', 'mul', 's_4', 'pow', 's_5', 's-', '1', 's-', '1']",41,./Feynman_with_units/II.21.32
72,II.24.17,k,sqrt(omega**2/c**2-pi**2/d**2),3,"['omega', 'c', 'd']","['pow', 'add', 'mul', 'pow', 's_1', 's+', '2', 'pow', 's_2', 's-', '2', 'mul', 's-', '1', 'mul', 'pow', 'pi', 's+', '2', 'pow', 's_3', 's-', '2', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",31,./Feynman_with_units/II.24.17
73,II.27.16,flux,epsilon*c*Ef**2,3,"['epsilon', 'c', 'Ef']","['mul', 's_1', 'mul', 's_2', 'pow', 's_3', 's+', '2']",8,./Feynman_with_units/II.27.16
74,II.27.18,E_den,epsilon*Ef**2,2,"['epsilon', 'Ef']","['mul', 's_1', 'pow', 's_2', 's+', '2']",6,./Feynman_with_units/II.27.18
75,II.34.2a,I,q*v/(2*pi*r),3,"['q', 'v', 'r']","['mul', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'mul', 's_1', 'mul', 's_2', 'mul', 'pow', 'pi', 's-', '1', 'pow', 's_3', 's-', '1']",22,./Feynman_with_units/II.34.2a
76,II.34.2,mom,q*v*r/2,3,"['q', 'v', 'r']","['mul', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'mul', 's_1', 'mul', 's_2', 's_3']",14,./Feynman_with_units/II.34.2
77,II.34.11,omega,g_*q*B/(2*m),4,"['g_', 'q', 'B', 'm']","['mul', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'mul', 's_1', 'mul', 's_2', 'mul', 's_3', 'pow', 's_4', 's-', '1']",19,./Feynman_with_units/II.34.11
78,II.34.29a,mom,q*h/(4*pi*m),3,"['q', 'h', 'm']","['mul', 'mul', 's+', '1', 'pow', 's+', '4', 's-', '1', 'mul', 's_1', 'mul', 's_2', 'mul', 'pow', 'pi', 's-', '1', 'pow', 's_3', 's-', '1']",22,./Feynman_with_units/II.34.29a
79,II.34.29b,E_n,g_*mom*B*Jz/(h/(2*pi)),5,"['g_', 'h', 'Jz', 'mom', 'B']","['mul', 's+', '2', 'mul', 'pi', 'mul', 's_1', 'mul', 's_3', 'mul', 's_4', 'mul', 's_5', 'pow', 's_2', 's-', '1']",17,./Feynman_with_units/II.34.29b
80,II.35.18,n,n_0/(exp(mom*B/(kb*T))+exp(-mom*B/(kb*T))),5,"['n_0', 'kb', 'T', 'mom', 'B']","['mul', 's_1', 'pow', 'add', 'exp', 'mul', 's_4', 'mul', 's_5', 'mul', 'pow', 's_2', 's-', '1', 'pow', 's_3', 's-', '1', 'exp', 'mul', 's-', '1', 'mul', 's_4', 'mul', 's_5', 'mul', 'pow', 's_2', 's-', '1', 'pow', 's_3', 's-', '1', 's-', '1']",37,./Feynman_with_units/II.35.18
81,II.35.21,M,n_rho*mom*tanh(mom*B/(kb*T)),5,"['n_rho', 'mom', 'B', 'kb', 'T']","['mul', 's_1', 'mul', 's_2', 'tanh', 'mul', 's_2', 'mul', 's_3', 'mul', 'pow', 's_4', 's-', '1', 'pow', 's_5', 's-', '1']",18,./Feynman_with_units/II.35.21
82,II.36.38,f,mom*H/(kb*T)+(mom*alpha)/(epsilon*c**2*kb*T)*M,8,"['mom', 'H', 'kb', 'T', 'alpha', 'epsilon', 'c', 'M']","['add', 'mul', 's_1', 'mul', 's_2', 'mul', 'pow', 's_3', 's-', '1', 'pow', 's_4', 's-', '1', 'mul', 's_1', 'mul', 's_5', 'mul', 's_8', 'mul', 'pow', 's_3', 's-', '1', 'mul', 'pow', 's_4', 's-', '1', 'mul', 'pow', 's_6', 's-', '1', 'pow', 's_7', 's-', '2']",39,./Feynman_with_units/II.36.38
83,II.37.1,E_n,mom*(1+chi)*B,3,"['mom', 'B', 'chi']","['mul', 's_1', 'mul', 's_2', 'add', 's+', '1', 's_3']",8,./Feynman_with_units/II.37.1
84,II.38.3,F,Y*A*x/d,4,"['Y', 'A', 'd', 'x']","['mul', 's_1', 'mul', 's_2', 'mul', 's_4', 'pow', 's_3', 's-', '1']",10,./Feynman_with_units/II.38.3
